,State,Registration Required,Permit to Carry Required,Permit to Purchase Required,Open Carry is Legal,Number of Registered Weapons,Incident Date,City Or County,Address,# Killed,# Injured
238,Missouri,False,False,False,True,"88,270",5-Oct-19,Saint Louis,10035 Crown Point Dr,0.0,5.0
239,Missouri,False,False,False,True,"88,270",3-Oct-19,Marshall,S Olson Ave,1.0,3.0
240,Missouri,False,False,False,True,"88,270",1-Oct-19,Saint Louis,Leonor K. Sullivan Blvd and Poplar St,0.0,4.0
241,Missouri,False,False,False,True,"88,270",22-Sep-19,Kansas City,2111 Television Plaza,0.0,5.0
242,Missouri,False,False,False,True,"88,270",14-Sep-19,Saint Louis,5200 block of Tennessee Ave,1.0,3.0
243,Missouri,False,False,False,True,"88,270",23-Aug-19,Saint Louis,1122 Union Blvd,1.0,3.0
244,Missouri,False,False,False,True,"88,270",18-Aug-19,Kansas City,770 W 47th St,0.0,4.0
245,Missouri,False,False,False,True,"88,270",7-Aug-19,Saint Louis,4900 block of Plover Ave,3.0,1.0
246,Missouri,False,False,False,True,"88,270",7-Jul-19,Saint Louis,N Tucker Blvd and Convention Plaza,0.0,5.0
247,Missouri,False,False,False,True,"88,270",6-Jul-19,Saint Louis,1921 Chambers Rd,5.0,0.0
248,Missouri,False,False,False,True,"88,270",2-Jul-19,Saint Louis (Wellston),6250 Page Ave,0.0,4.0
249,Missouri,False,False,False,True,"88,270",27-May-19,Saint Louis,5900 block of Goodfellow Blvd,2.0,2.0
250,Missouri,False,False,False,True,"88,270",13-May-19,Saint Louis,4047 Shreve Ave,4.0,1.0
251,Missouri,False,False,False,True,"88,270",10-May-19,Saint Louis,4000 block of Ashland Ave,0.0,6.0
252,Missouri,False,False,False,True,"88,270",4-May-19,Saint Louis,Union Blvd and Northland Ave,1.0,4.0
253,Missouri,False,False,False,True,"88,270",9-Apr-19,Kansas City,5339 Michigan Ave,1.0,3.0
254,Mississippi,False,False,False,True,"52,346",20-Dec-19,Waynesboro,Turner St,1.0,6.0
255,Mississippi,False,False,False,True,"52,346",12-Aug-19,Greenwood,200 Young St,0.0,4.0
256,Mississippi,False,False,False,True,"52,346",18-May-19,Cascilla,700 Leverette Ln,1.0,4.0
257,Mississippi,False,False,False,True,"52,346",27-Apr-19,Jackson,700 block of Monterey St,1.0,3.0
258,Mississippi,False,False,False,True,"52,346",2-Apr-19,Hermanville,13195 MS 18,0.0,4.0
259,Mississippi,False,False,False,True,"52,346",16-Feb-19,Clinton,1214 Foxhill Dr,5.0,0.0
260,Minnesota,False,True,True,True,"98,585",22-Dec-19,Minneapolis (Spring Lake Park),8407 Plaza Blvd NE,1.0,7.0
261,Minnesota,False,True,True,True,"98,585",28-Jun-19,Saint Paul,909 Desoto St,0.0,5.0
262,Massachusetts,False,True,True,True,"39,886",9-Oct-19,Lowell,149 Ennell Street,0.0,5.0
